LICENSE_NBR,LIC_STATUS,BUSINESS_NAME,BUSINESS_NAME2,BUILDING,STREET,CITY,STATE,ZIP,SWC_TYPE,SWC_SQ_FT,SWC_TABLES,SWC_CHAIRS,DOHMH,LATITUDE,LONGITUDE,COMMUNITY_DISTRICT,CITY_COUNCIL_DISTRICT,CD_URL,APP_ID,APP_SWC_TYPE,APP_SQ_FT,APP_TABLES,APP_CHAIRS,APP_STATUS,APP_STATUS_DATE,EXPIRATION_DATE,APP_TOO_DATE,SUBMIT_DATE,INTAKE,INTAKE_DD,DPQA,SEND_PACKAGE_DD,CP,CP_DD,CB,CB_DD,HEARING,HEARING_DD,HEARING_PUBLIC,HEARING_PUBLIC_DD,CC,CC_DD,MOO,MOO_DD,ISSUANCE,ISSUANCE_DD
1237141-DCA,Active,STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY,7419,3RD AVE,BROOKLYN,NY,11209,Enclosed,260,2,6,40985913,40.63150812,-74.02752862,310,43,http://www.bkcb10.org/,8447-2016-RSWC,Enclosed,260,2,6,Pending Review,10/14/2016,4/14/2017,4/14/2017,5/23/2016,Ready For Review,5/23/2016,Issued Temp Op Letter,5/31/2016,Proceed,6/21/2016,Review Period Expired,7/21/2016,Pending Review,7/21/2016,SWC Public Hearing,8/10/2016,Pending Review,,Pending Review,,Pending Review,
,Inactive,BUL INC,ISTANBUL,8002,5TH AVE,BROOKLYN,NY,11209,Unenclosed,,16,32,50054610,40.62582987,-74.02433811,310,43,http://www.bkcb10.org/,1406-2017-ASWC,Unenclosed,,16,32,Pending Review,2/7/2017,,,2/7/2017,Ready For Review,2/7/2017,Under Review,2/7/2017,Pending Review,2/7/2017,Pending Review,2/7/2017,Pending Review,,SWC Public Hearing,3/29/2017,Pending Review,,Pending Review,,Pending Review,
1360728-DCA,Inactive,"MUSSELS & MORE, LTD.",,510,80TH ST,BROOKLYN,NY,11209,Unenclosed,432,17,34,41498611,40.62549784,-74.02388769,310,43,http://www.bkcb10.org/,7253-2017-RSWC,Unenclosed,432,17,34,Pending Review,2/13/2017,3/15/2017,3/15/2017,2/13/2017,Ready For Review,2/13/2017,Issued Temp Op Letter,,Pending Review,,Pending Review,,Pending Review,,,,Pending Review,,Pending Review,,Pending Review,
2038459-DCA,Active,BROOKLYN BURGERS LLC,BURGERFL,719,86TH ST,BROOKLYN,NY,11228,Unenclosed,382,7,28,50048238,40.6188285,-74.02134945,310,43,http://www.bkcb10.org/,4361-2016-ASWC,Unenclosed,382,7,28,Application Review Completed,7/19/2016,9/15/2018,,4/7/2016,Ready For Review,4/7/2016,Approved,4/7/2016,Pending Review,4/7/2016,Review Period Expired,5/28/2016,Recommendation Issued,6/1/2016,SWC Public Hearing,5/25/2016,Review Period Expired,6/22/2016,Approved,7/19/2016,Issued,7/19/2016
1312041-DCA,Active,CAFE CASANO LLC,,38,WEST ST,NEW YORK,NY,10004,Unenclosed,204,9,23,41380933,40.70622854,-74.01653352,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,17272-2015-RSWC,Unenclosed,204,9,23,Application Review Completed,8/20/2015,4/15/2017,7/29/2015,4/22/2015,Ready For Review,4/22/2015,Approved,6/10/2015,,,Review Period Expired,6/5/2015,Waived,6/5/2015,,,Approved,7/10/2015,Approved,7/10/2015,Issued,7/13/2015
1433949-DCA,Active,SIGNATURE 102 NORTH END AVE LLC,NORTH END GRILL,102,N END AVE,NEW YORK,NY,10282,Unenclosed,462,14,28,41629694,40.71499268,-74.0157421,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,10541-2016-RSWC,Unenclosed,462,14,28,Application Review Completed,8/19/2016,9/15/2018,,8/10/2016,Ready For Review,8/18/2016,Approved,,Proceed,8/18/2016,Review Period Expired,8/18/2016,Waived,8/18/2016,,,Approved,8/18/2016,Approved,8/18/2016,Issued,8/19/2016
1312044-DCA,Active,OSTERIA CASANO LLC,,28,WEST ST,NEW YORK,NY,10004,Unenclosed,320,16,31,41380930,40.70713444,-74.01559597,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,33456-2015-RSWC,Unenclosed,320,16,31,Application Review Completed,5/5/2016,12/15/2017,,12/16/2015,Ready For Review,12/16/2015,Approved,2/8/2016,Pending Review,12/16/2015,Recommend Approval,2/1/2016,Waived,2/8/2016,,,Approved,5/5/2016,Approved,5/5/2016,Issued,5/5/2016
1470950-DCA,Active,"HAVATEQUILA RESTAURANT PARTNERS, LLC",EL VEZ,259,VESEY ST,NEW YORK,NY,10282,Unenclosed,1253,19,38,50001750,40.71498997,-74.01548959,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,33303-2015-RSWC,Unenclosed,1253,19,38,Application Review Completed,3/22/2016,12/15/2017,6/17/2016,12/15/2015,Ready For Review,12/15/2015,Approved,2/8/2016,Pending Review,12/15/2015,Recommend Approval,2/1/2016,Waived,2/8/2016,,,Approved,3/22/2016,Approved,3/22/2016,Issued,3/22/2016
1421278-DCA,Active,BLUE SMOKE 102 NORTH END AVE LLC,BLUE SMOKE,255,VESEY ST,NEW YORK,NY,10281,Unenclosed,311,12,28,41629699,40.71498997,-74.01548237,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,29803-2016-RSWC,Unenclosed,311,12,28,Application Review Completed,12/13/2016,12/15/2018,,12/13/2016,Ready For Review,12/13/2016,Approved,,Pending Review,,Pending Review,,Pending Review,,,,Pending Review,,Pending Review,,Issued,12/13/2016
2030561-DCA,Active,"BAGEL ON MURRAY STREET, LLC",PICK A BAGEL,251,VESEY ST,NEW YORK,NY,10282,Unenclosed,223,4,8,41706173,40.71498997,-74.01547516,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,5266-2015-ASWC,Unenclosed,223,4,8,Application Review Completed,12/17/2015,4/15/2017,,4/21/2015,Ready For Review,4/27/2015,Approved,11/20/2015,Pending Review,4/27/2015,Recommend Approval,6/2/2015,Recommendation Issued,6/17/2015,SWC Public Hearing,,Approved,12/16/2015,Approved,12/16/2015,Issued,12/17/2015
1465832-DCA,Active,"BILL'S DTM NY, LLC",BILL'S BAR AND BURGER DOWNTOWN,85,WEST ST,NEW YORK,NY,10006,Unenclosed,197,7,14,50000726,40.70942919,-74.0146082,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,29300-2015-RSWC,Unenclosed,197,7,14,Application Review Completed,2/3/2016,12/15/2017,,11/13/2015,Ready For Review,11/13/2015,Approved,1/6/2016,Pending Review,11/16/2015,Review Period Expired,1/6/2016,Waived,1/6/2016,,,Approved,2/3/2016,Approved,2/3/2016,Issued,2/3/2016
1315977-DCA,Active,RECTOR STREET FOOD ENTERPRISES LTD.,,11,RECTOR ST,NEW YORK,NY,10006,Unenclosed,140,4,8,41098607,40.70782364,-74.01349693,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,17424-2015-RSWC,Unenclosed,140,4,8,Application Review Completed,8/20/2015,4/15/2017,,4/23/2015,Ready For Review,4/23/2015,Approved,6/19/2015,,,Review Period Expired,6/13/2015,Waived,6/15/2015,,,Approved,7/24/2015,Approved,7/24/2015,Issued,8/10/2015
1422914-DCA,Inactive,TAJIN RESTAURANT CORP.,,83,GREENWICH ST,NEW YORK,NY,10006,Unenclosed,193,10,20,40510827,40.7076672,-74.01340312,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,22958-2016-RSWC,Unenclosed,193,10,20,Pending Review,11/25/2016,1/31/2017,1/31/2017,11/25/2016,Ready For Review,11/25/2016,Issued Temp Op Letter,,Pending Review,,Pending Review,,Pending Review,,,,Pending Review,,Pending Review,,Pending Review,
,Inactive,"OBBM, LLC",BROADSTONE TAP HOUSE,88,BROAD ST,NEW YORK,NY,10004,Small Unenclosed,,12,24,50054344,40.70405529,-74.01158824,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,1029-2017-ASWC,Small Unenclosed,,12,24,Pending Review,1/31/2017,,,1/30/2017,Ready For Review,1/30/2017,Review Completed,3/23/2017,Pending Review,1/31/2017,Recommend Approval,3/22/2017,Recommendation Issued,3/22/2017,SWC Public Hearing,3/22/2017,Filed Recommendation,3/23/2017,Pending Review,,Pending Review,
1464111-DCA,Active,BROADWATER & PEARL ASSOCIATES LLC,THE PORTER HOUSE AT FRAUNCES TAVERN,54,PEARL ST,NEW YORK,NY,10004,Unenclosed,399,14,28,41547298,40.70339657,-74.01136451,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,23900-2015-RSWC,Unenclosed,399,14,28,Application Review Completed,11/2/2015,4/15/2017,,7/21/2015,Ready For Review,7/21/2015,Approved,9/15/2015,Pending Review,7/22/2015,Review Period Expired,9/11/2015,Waived,9/11/2015,,,Approved,11/2/2015,Approved,11/2/2015,Issued,11/2/2015
1177240-DCA,Active,"GIGINO, INC.",GIGINO TRATTORIA,323,GREENWICH ST,NEW YORK,NY,10013,Unenclosed,115,4,10,40399174,40.71723848,-74.01056242,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,21177-2016-RSWC,Unenclosed,115,4,10,Application Review Completed,11/18/2016,12/15/2018,12/13/2016,11/18/2016,Ready For Review,11/18/2016,Approved,,Proceed,11/18/2016,Review Period Expired,11/18/2016,Waived,11/18/2016,,,Approved,11/18/2016,Approved,11/18/2016,Issued,11/18/2016
1466015-DCA,Inactive,"SALAAM BOMBAY, INC.",,317,GREENWICH ST,NEW YORK,NY,10013,Unenclosed,178,7,13,41497410,40.71701617,-74.01045417,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,18569-2015-RSWC,Unenclosed,178,7,13,Application Denied,11/18/2016,6/30/2015,6/30/2015,4/30/2015,Ready For Review,4/30/2015,Process Completed,6/10/2015,,,Recommend Approval,6/2/2015,Waived,6/2/2015,,,Withdrawn by DCA,7/17/2015,,,,
1200802-DCA,Active,NONNA RESTUARANT CORP,ROC RESTAURANT,190A,DUANE ST,NEW YORK,NY,10013,Unenclosed,382,20,40,40728151,40.71731535,-74.01043978,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,30466-2015-RSWC,Unenclosed,382,20,40,Application Review Completed,2/16/2016,12/15/2017,,11/20/2015,Ready For Review,11/20/2015,Approved,1/6/2016,Pending Review,11/20/2015,Review Period Expired,1/6/2016,Waived,1/6/2016,,,Approved,2/16/2016,Approved,2/16/2016,Issued,2/16/2016
1384470-DCA,Active,"SARABETH'S TRIBECA, LLC",SARABETH'S,339,GREENWICH ST,NEW YORK,NY,10013,Unenclosed,300,12,26,41564700,40.71826504,-74.01033532,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,30489-2015-RSWC,Unenclosed,300,12,26,Application Review Completed,2/17/2016,12/15/2017,,11/20/2015,Ready For Review,11/20/2015,Approved,1/6/2016,Pending Review,11/23/2015,Review Period Expired,1/6/2016,Waived,1/6/2016,,,Approved,2/17/2016,Approved,2/17/2016,Issued,2/17/2016
2025200-DCA,Active,"355 GREENWICH BAKERY, LLC",,355,GREENWICH ST,NEW YORK,NY,10013,Unenclosed,264,14,27,50034851,40.71895673,-74.01024524,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,6106-2015-ASWC,Unenclosed,264,14,27,Application Review Completed,8/20/2015,12/15/2017,,5/5/2015,Ready For Review,5/8/2015,Approved,7/8/2015,,,Review Period Expired,6/24/2015,Recommendation Issued,6/24/2015,SWC Public Hearing,,Approved,8/10/2015,Approved,8/10/2015,Issued,8/10/2015
2035683-DCA,Active,RHLP 284 LLC,RED HOOK LOBSTER POUND,284,VAN BRUNT ST,BROOKLYN,NY,11231,Unenclosed,156,6,12,50033781,40.67981911,-74.01023922,306,38,http://www.brooklyncb6.org/,1563-2016-ASWC,Unenclosed,156,6,12,Application Review Completed,6/6/2016,9/15/2018,,2/12/2016,Ready For Review,2/12/2016,Approved,4/11/2016,Pending Review,2/12/2016,Review Period Expired,4/3/2016,Waived,4/11/2016,,,Approved,6/6/2016,Approved,6/6/2016,Issued,6/6/2016
2011217-DCA,Active,SILMOR ENTERPRISES CORP,TABLAO,361,GREENWICH ST,NEW YORK,NY,10013,Unenclosed,65,6,12,,40.71895673,-74.01023081,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,6083-2016-RSWC,Unenclosed,65,6,12,Application Review Completed,9/27/2016,4/15/2018,,4/6/2016,Ready For Review,4/6/2016,Approved,4/6/2016,Pending Review,4/6/2016,Review Period Expired,5/27/2016,Waived,6/1/2016,,,Review Period Expired,6/22/2016,Approved,9/27/2016,Issued,9/27/2016
1319263-DCA,Active,GREENWICH HOTEL RESTAURANT LLC,,377,GREENWICH ST,NEW YORK,NY,10013,Unenclosed,570,19,38,41410205,40.71984879,-74.01005057,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,24571-2014-RSWC,Unenclosed,570,19,38,Application Review Completed,3/11/2015,9/15/2017,,11/14/2014,Ready For Review,11/14/2014,Approved,1/16/2015,Proceed,1/9/2015,Review Period Expired,6/1/2015,,,SWC Public Hearing,,Approved,3/11/2015,Approved,3/11/2015,Issued,3/11/2015
2038116-DCA,Active,GST399 INC,GREENWICH STREET TAVERN,399,GREENWICH ST,NEW YORK,NY,10013,Unenclosed,246,13,26,50043059,40.72085887,-74.01003629,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,961-2016-ASWC,Unenclosed,246,13,26,Application Review Completed,7/12/2016,9/15/2018,,1/29/2016,Ready For Review,1/29/2016,Approved,6/7/2016,Pending Review,2/1/2016,Review Period Expired,3/23/2016,Recommendation Issued,3/24/2016,SWC Public Hearing,3/23/2016,Approved,7/12/2016,Approved,7/12/2016,Issued,7/12/2016
,Inactive,AEMAL LLC,YVES,385,GREENWICH ST,NEW YORK,NY,10013,Unenclosed,,21,39,50049031,40.72019464,-74.01000733,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,160-2017-ASWC,Unenclosed,,21,39,Pending Review,1/5/2017,,,1/5/2017,Ready For Review,1/5/2017,Review Completed,1/5/2017,Pending Review,1/5/2017,Review Period Expired,2/25/2017,Recommendation Issued,3/6/2017,SWC Public Hearing,2/22/2017,Pending Review,3/6/2017,Pending Review,,Pending Review,
1365397-DCA,Active,MVNBC CORP.,BENVENUTO CAFE,189,FRANKLIN ST,NEW YORK,NY,10013,Unenclosed,373,15,30,41462348,40.71929986,-74.0098629,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,15250-2015-RSWC,Unenclosed,373,15,30,Application Review Completed,8/20/2015,4/15/2017,9/9/2015,4/8/2015,Ready For Review,4/11/2015,Approved,4/11/2015,,,Review Period Expired,5/27/2015,Recommendation Issued,5/27/2015,SWC Public Hearing,,Approved,7/24/2015,Approved,7/24/2015,Issued,8/5/2015
1420047-DCA,Active,NO MOORE OYSTERS LLC,SMITH & MILLS,71,N MOORE ST,NEW YORK,NY,10013,Unenclosed,81,4,8,41267566,40.72019465,-74.0098522,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,3091-2016-RSWC,Unenclosed,81,4,8,Application Review Completed,3/9/2016,4/15/2018,,3/9/2016,Ready For Review,3/9/2016,Approved,,Proceed,3/9/2016,Review Period Expired,3/9/2016,Waived,3/9/2016,,,Review Period Expired,3/9/2016,Waived,3/9/2016,Issued,3/9/2016
2032178-DCA,Active,"SWEETGREEN NEW YORK, LLC",SWEETGREEN TRIBECA,413,GREENWICH ST,NEW YORK,NY,10013,Unenclosed,224,9,18,5000790,40.72133373,-74.0098163,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,13934-2015-ASWC,Unenclosed,224,9,18,Application Review Completed,4/7/2016,12/15/2018,,10/9/2015,Ready For Review,10/9/2015,Approved,1/6/2016,Pending Review,10/13/2015,Recommend Approval,11/30/2015,Recommendation Issued,12/9/2015,SWC Public Hearing,12/2/2015,Approved,4/7/2016,Approved,4/7/2016,Issued,4/7/2016
1359208-DCA,Active,TECTON CAFE INC.,,460,GREENWICH ST,NEW YORK,NY,10013,Unenclosed,79,4,10,40402026,40.72378756,-74.00961463,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,1512-2017-RSWC,Unenclosed,79,4,10,Application Review Completed,3/11/2017,12/15/2018,,1/11/2017,Ready For Review,1/11/2017,Approved,,Proceed,3/10/2017,Review Period Expired,3/10/2017,Waived,3/10/2017,,,Approved,3/10/2017,Approved,3/10/2017,Issued,3/11/2017
2037203-DCA,Active,85 WEST BROADWAY OWNER LLC,,85,W BROADWAY,NEW YORK,NY,10007,Unenclosed,249,10,20,41436619,40.71520197,-74.0094727,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,2198-2016-ASWC,Unenclosed,249,10,20,Application Review Completed,6/10/2016,9/15/2018,,2/29/2016,Ready For Review,2/29/2016,Approved,5/10/2016,Pending Review,2/29/2016,Review Period Expired,4/20/2016,Recommendation Issued,4/27/2016,SWC Public Hearing,4/20/2016,Approved,6/10/2016,Approved,6/10/2016,Issued,6/10/2016
1003195-DCA,Active,RIOMAR CORP.,KANA,324,SPRING ST,NEW YORK,NY,10013,Unenclosed,119,4,13,40608746,40.72583791,-74.00936959,102,3,http://www.nyc.gov/manhattancb2,18844-2015-RSWC,Unenclosed,119,4,13,Application Review Completed,10/8/2015,4/15/2017,,5/5/2015,Ready For Review,5/8/2015,Approved,7/8/2015,Pending Review,5/8/2015,Review Period Expired,6/28/2015,Waived,7/2/2015,,,Approved,10/2/2015,Approved,10/8/2015,Issued,10/8/2015
2021605-DCA,Active,HAPPY COOKING BISTRO LLC,,322,SPRING ST,NEW YORK,NY,10013,Unenclosed,200,10,24,41431046,40.72587909,-74.00926136,102,3,http://www.nyc.gov/manhattancb2,2297-2015-ASWC,Unenclosed,200,10,24,Application Review Completed,6/8/2015,4/15/2017,,3/2/2015,Ready For Review,3/2/2015,Approved,3/2/2015,,,Recommend Approval,3/23/2015,Recommendation Issued,4/22/2015,SWC Public Hearing,,Approved,5/28/2015,Approved,5/28/2015,Issued,6/8/2015
1419821-DCA,Active,"ZUTTO SQUARED, LLC",ZUTTO,77,HUDSON ST,NEW YORK,NY,10013,Unenclosed,133,6,10,41602974,40.71847101,-74.00898616,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,6760-2016-RSWC,Unenclosed,133,6,10,Application Review Completed,4/14/2016,4/15/2018,,4/14/2016,Ready For Review,4/14/2016,Approved,,Proceed,4/14/2016,Review Period Expired,4/14/2016,Waived,4/14/2016,,,Approved,4/14/2016,Approved,4/14/2016,Issued,4/14/2016
1225847-DCA,Active,"MOUQUINHO ENTERPRISES, INC.",PJ CHARLTON,549,GREENWICH ST,NEW YORK,NY,10013,Unenclosed,110,5,10,40568549,40.72729269,-74.0087384,102,3,http://www.nyc.gov/manhattancb2,7133-2016-RSWC,Unenclosed,110,5,10,Application Review Completed,4/22/2016,4/15/2018,,4/22/2016,Ready For Review,4/22/2016,Approved,,Proceed,4/22/2016,Recommend Approval,4/22/2016,Waived,4/22/2016,,,Approved,4/22/2016,Approved,4/22/2016,Issued,4/22/2016
2042122-DCA,Active,MURRAY PLACE INC,,23,PARK PL,NEW YORK,NY,10007,Unenclosed,174,6,12,50017934,40.71335206,-74.0087005,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,7932-2016-ASWC,Unenclosed,174,6,12,Application Review Completed,11/3/2016,12/15/2018,,6/15/2016,Ready For Review,6/15/2016,Approved,8/8/2016,Pending Review,6/15/2016,Review Period Expired,8/5/2016,Recommendation Issued,8/8/2016,SWC Public Hearing,8/3/2016,Approved,11/3/2016,Approved,11/3/2016,Issued,11/3/2016
,Inactive,109 WEST BROADWAY FOOD & WINE LLC,,109,W BROADWAY,NEW YORK,NY,10013,Enclosed,515,4,32,,40.71607486,-74.00865036,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,2015-2017-ASWC,Enclosed,515,4,32,Pending Review,2/23/2017,,,2/21/2017,Ready For Review,2/23/2017,Under Review,2/23/2017,Pending Review,2/23/2017,Pending Review,2/23/2017,Pending Review,,,,Pending Review,,Pending Review,,Pending Review,
1076713-DCA,Active,I MALATESTA TRATTORIA INC.,MALATESTA TRATTORIA,649,WASHINGTON ST,NEW YORK,NY,10014,Unenclosed,333,18,35,40634937,40.7328426,-74.00849738,102,3,http://www.nyc.gov/manhattancb2,3070-2013-RSWC,Unenclosed,333,18,35,Pending Review,2/22/2017,4/22/2017,4/22/2017,3/10/2016,Ready For Review,11/22/2013,Issued Temp Op Letter,6/9/2016,Pending Review,11/22/2013,Recommend Approval,7/27/2016,Recommendation Issued,1/17/2014,SWC Public Hearing,7/27/2016,Review Period Expired,6/1/2015,Pending Review,6/1/2015,Pending Review,
2009833-DCA,Active,WB DUANE JAPAN PARTNERS INC,SUSHI OF GARI TRIBECA,130,W BROADWAY,NEW YORK,NY,10013,Unenclosed,296,13,26,41688842,40.71677205,-74.00839793,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,12719-2016-RSWC,Unenclosed,296,13,26,Application Review Completed,2/1/2017,9/15/2018,,9/21/2016,Ready For Review,9/21/2016,Approved,11/3/2016,Pending Review,9/23/2016,Review Period Expired,11/3/2016,Waived,11/3/2016,,,Approved,2/1/2017,Approved,2/1/2017,Issued,2/1/2017
