LICENSE_NBR,LIC_STATUS,BUSINESS_NAME,BUSINESS_NAME2,BUILDING,STREET,CITY,STATE,ZIP,SWC_TYPE,SWC_SQ_FT,SWC_TABLES,SWC_CHAIRS,DOHMH,LATITUDE,LONGITUDE,COMMUNITY_DISTRICT,CITY_COUNCIL_DISTRICT,CD_URL,APP_ID,APP_SWC_TYPE,APP_SQ_FT,APP_TABLES,APP_CHAIRS,APP_STATUS,APP_STATUS_DATE,EXPIRATION_DATE,APP_TOO_DATE,SUBMIT_DATE,INTAKE,INTAKE_DD,DPQA,SEND_PACKAGE_DD,CP,CP_DD,CB,CB_DD,HEARING,HEARING_DD,HEARING_PUBLIC,HEARING_PUBLIC_DD,CC,CC_DD,MOO,MOO_DD,ISSUANCE,ISSUANCE_DD
1449418-DCA,Active,AMBIANCE WINE LLC,VELLA WINE BAR,1480,2ND AVE,NEW YORK,NY,10075,Unenclosed,342,20,40,41704620,40.77202667423901,-73.95580567201834,108,5,http://www.cb8m.com/,11744-2017-RSWC,Unenclosed,342,20,40,Application Review Completed,03/06/2017,12/15/2018,,03/02/2017,Ready For Review,03/02/2017,Approved,,Proceed,03/06/2017,Review Period Expired,03/06/2017,Waived,03/06/2017,,,Approved,03/06/2017,Approved,03/06/2017,Issued,03/06/2017
2019774-DCA,Active,LAFITTE LLC,SAUVAGE,905,LORIMER ST,BROOKLYN,NY,11222,Unenclosed,325,14,28,,40.72351165757299,-73.9518621316149,301,33,http://www.nyc.gov/brooklyncb1,1075-2015-ASWC,Unenclosed,325,14,28,Application Review Completed,11/05/2015,12/15/2017,,01/30/2015,Ready For Review,01/30/2015,Approved,02/03/2015,Pending Review,02/02/2015,Review Period Expired,03/23/2015,Recommendation Issued,03/23/2015,SWC Public Hearing,,Approved,05/19/2015,Approved,05/19/2015,Issued,11/05/2015
2032817-DCA,Active,GARAGE ASTORIA LLC,THE BONNIE,2912,23RD AVE,ASTORIA,NY,11105,Unenclosed,176,10,20,50015619,40.77462131416179,-73.91370197603374,401,22,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,15465-2015-ASWC,Unenclosed,176,10,20,Application Review Completed,03/22/2016,04/15/2018,,11/24/2015,Ready For Review,11/24/2015,Approved,02/01/2016,Pending Review,11/24/2015,Review Period Expired,01/15/2016,Recommendation Issued,01/28/2016,SWC Public Hearing,01/13/2016,Approved,03/22/2016,Approved,03/22/2016,Issued,03/22/2016
1449948-DCA,Inactive,3N RESTAURANT CORP.,RAVEN'S HEAD PUBLIC HOUSE,3804,BROADWAY,ASTORIA,NY,11103,Unenclosed,114,4,8,41595907,40.7590492563359,-73.91972500064631,401,22,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,21534-2014-RSWC,Unenclosed,114,4,8,Application Review Completed,03/17/2015,12/15/2016,12/15/2014,11/06/2014,Ready For Review,11/06/2014,Approved,11/06/2014,,,Recommend Approval,12/31/2014,Recommendation Issued,12/31/2014,SWC Public Hearing,,Approved,03/17/2015,Approved,03/17/2015,Issued,03/17/2015
1346491-DCA,Active,"ACUMEN GMAT, LLC",HAAGEN DAZS,2905,BROADWAY,NEW YORK,NY,10025,Unenclosed,98,6,11,41365100,40.80652297746619,-73.9653298756811,109,7,http://www.cb9m.org,5369-2016-RSWC,Unenclosed,98,6,11,Application Review Completed,03/28/2016,04/15/2018,,03/28/2016,Ready For Review,03/28/2016,Approved,,Proceed,03/28/2016,Recommend Approval,03/28/2016,Waived,03/28/2016,,,Approved,03/28/2016,Approved,03/28/2016,Issued,03/28/2016
2021429-DCA,Active,ONE MELON LLC,,89,MACDOUGAL ST,NEW YORK,NY,10012,Unenclosed,420,14,28,50034098,40.72904965218873,-74.00139630535283,102,3,http://www.nyc.gov/manhattancb2,29975-2016-RSWC,Unenclosed,420,14,28,Application Review Completed,12/13/2016,12/15/2018,,12/13/2016,Ready For Review,12/13/2016,Approved,,Proceed,12/13/2016,Recommend Approval,12/13/2016,Waived,12/13/2016,,,Approved,12/13/2016,Approved,12/13/2016,Issued,12/13/2016
1463548-DCA,Active,SOFIA 61ST STREET CORP.,SERAFINA,33,E 61ST ST,NEW YORK,NY,10065,Small Unenclosed,81,3,8,41717206,40.76478786888056,-73.9699795704238,108,4,http://www.cb8m.com/,31633-2015-RSWC,Small Unenclosed,81,3,8,Application Review Completed,03/17/2016,12/15/2017,,12/02/2015,Ready For Review,12/02/2015,Approved,02/01/2016,Pending Review,12/02/2015,Review Period Expired,01/22/2016,Waived,02/01/2016,,,Approved,03/17/2016,Approved,03/17/2016,Issued,03/17/2016
1352656-DCA,Active,THE MEATBALL SHOP LLC,,84,STANTON ST,NEW YORK,NY,10002,Unenclosed,89,3,12,41465002,40.721679438634915,-73.98875503233317,103,1,http://www.nyc.gov/manhattancb3,10063-2016-RSWC,Unenclosed,89,3,12,Application Review Completed,07/20/2016,09/15/2018,,07/20/2016,Ready For Review,07/20/2016,Approved,,Proceed,07/20/2016,Recommend Approval,07/20/2016,Waived,07/20/2016,,,Approved,07/20/2016,Approved,07/20/2016,Issued,07/20/2016
1434421-DCA,Active,"TRAVERTINE, LLC",KEN & COOKS RESTAURANT,19,KENMARE ST,NEW YORK,NY,10012,Unenclosed,453,15,30,41406564,40.72068626115874,-73.99465718674921,102,1,http://www.nyc.gov/manhattancb2,1047-2016-RSWC,Unenclosed,453,15,30,Application Review Completed,07/26/2016,04/15/2018,,02/11/2016,Ready For Review,02/11/2016,Approved,04/11/2016,Pending Review,02/11/2016,Review Period Expired,04/03/2016,Waived,04/11/2016,,,Approved,07/26/2016,Approved,07/26/2016,Issued,07/26/2016
1187717-DCA,Active,DA SILVANO CORP.,DA SILVANO,260,AVENUE OF THE AMERICAS,NEW YORK,NY,10014,Unenclosed,610,26,55,40368346,40.728906909910826,-74.00232356258685,102,3,http://www.nyc.gov/manhattancb2,13974-2015-RSWC,Unenclosed,610,26,55,Application Review Completed,08/20/2015,04/15/2017,,03/31/2015,Ready For Review,03/31/2015,Approved,04/02/2015,,,Review Period Expired,05/27/2015,Recommendation Issued,05/27/2015,SWC Public Hearing,,Review Period Expired,06/17/2015,Approved,07/10/2015,Issued,08/07/2015
1444657-DCA,Active,"GUEROS RESTAURANT, INC.",,605,PROSPECT PL,BROOKLYN,NY,11238,Unenclosed,184,8,14,41615430,40.6752111447813,-73.95662690133969,308,35,http://www.brooklyncb8.org/,6357-2016-RSWC,Unenclosed,184,8,14,Application Review Completed,04/08/2016,04/15/2018,,04/08/2016,Ready For Review,04/08/2016,Approved,,Proceed,04/08/2016,Recommend Approval,04/08/2016,Waived,04/08/2016,,,Approved,04/08/2016,Approved,04/08/2016,Issued,04/08/2016
1035738-DCA,Active,MILL KOREAN RESTAURANT INC.,,2895,BROADWAY,NEW YORK,NY,10025,Unenclosed,168,7,18,40512129,40.80605646093442,-73.96561909457624,109,7,http://www.cb9m.org,33268-2015-RSWC,Unenclosed,168,7,18,Application Review Completed,03/23/2016,12/15/2017,,12/15/2015,Ready For Review,12/15/2015,Approved,02/08/2016,Pending Review,12/15/2015,Review Period Expired,02/08/2016,Waived,02/08/2016,,,Approved,03/23/2016,Approved,03/23/2016,Issued,03/23/2016
0890521-DCA,Active,200 EAST 81ST RESTAURANT CORP.,BEYOGLU,1431,3RD AVE,NEW YORK,NY,10028,Unenclosed,253,16,32,40392162,40.7753864205484,-73.95629447507054,108,5,http://www.cb8m.com/,14228-2017-RSWC,Unenclosed,253,16,32,Pending Review,03/23/2017,04/15/2017,,03/23/2017,Ready For Review,03/23/2017,Under Review,,Pending Review,,Pending Review,,Pending Review,,,,Pending Review,,Pending Review,,Pending Review,
1189217-DCA,Active,PEPRICO INC.,CACIO & PEPE,182,2ND AVE,NEW YORK,NY,10003,Unenclosed,116,8,16,41056164,40.73059135915467,-73.98597528553407,103,2,http://www.nyc.gov/manhattancb3,15666-2015-RSWC,Unenclosed,116,8,16,Application Review Completed,09/09/2015,04/15/2017,,04/10/2015,Ready For Review,04/13/2015,Approved,06/10/2015,Pending Review,04/13/2015,Review Period Expired,06/03/2015,Waived,06/05/2015,,,Approved,08/28/2015,Approved,08/28/2015,Issued,09/09/2015
1382366-DCA,Active,SUD123 INCORPORATED,CIAO,178,MULBERRY ST,NEW YORK,NY,10012,Unenclosed,171,9,19,41561855,40.72066438004579,-73.99670989596011,102,1,http://www.nyc.gov/manhattancb2,26372-2015-RSWC,Unenclosed,171,9,19,Application Review Completed,12/15/2015,09/15/2017,,09/16/2015,Ready For Review,09/16/2015,Approved,11/10/2015,Pending Review,09/16/2015,Recommend Approval,10/26/2015,Recommendation Issued,11/04/2015,SWC Public Hearing,11/04/2015,Approved,12/15/2015,Approved,12/15/2015,Issued,12/15/2015
2039147-DCA,Active,138 WEST FORDHAM RD FOOD CORP,CELIA'S RESTAURANT BAR & GRILL,138,W FORDHAM RD,BRONX,NY,10468,Unenclosed,200,5,20,50013421,40.86258994096568,-73.90709479797384,207,14,http://www.bronxcb7.info/,5160-2016-ASWC,Unenclosed,200,5,20,Application Review Completed,07/19/2016,04/15/2018,,04/21/2016,Ready For Review,04/21/2016,Approved,06/20/2016,Pending Review,04/22/2016,Recommend Approval,06/06/2016,Recommendation Issued,06/17/2016,SWC Public Hearing,06/08/2016,Approved,07/19/2016,Approved,07/19/2016,Issued,07/19/2016
0911530-DCA,Active,"N.Y. RESTAURANT SUPPLIES, INC.",,8,STUYVESANT ST,NEW YORK,NY,10003,Unenclosed,202,12,24,40400049,40.729729865783305,-73.98933096360628,103,2,http://www.nyc.gov/manhattancb3,24419-2016-RSWC,Unenclosed,202,12,24,Application Review Completed,01/03/2017,12/15/2018,,11/29/2016,Ready For Review,11/29/2016,Approved,,Proceed,01/03/2017,Review Period Expired,01/03/2017,Waived,01/03/2017,,,Approved,01/03/2017,Approved,01/03/2017,Issued,01/03/2017
2043837-DCA,Active,BISCUITERIA LLC,,3207,30TH AVE,ASTORIA,NY,11102,Enclosed,397,16,46,50035197,40.76656754904857,-73.92035852904897,401,22,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,5360-2015-ASWC,Enclosed,397,16,46,Application Review Completed,03/06/2017,05/15/2018,,04/22/2015,Ready For Review,04/30/2015,Approved,04/30/2015,Proceed Objections Cured,07/19/2016,Review Period Expired,07/20/2016,Recommendation Issued,09/09/2016,SWC Public Hearing,09/07/2016,Review Period Expired,10/10/2016,Approved,03/06/2017,Issued,03/06/2017
2011155-DCA,Active,GREENWICH BBQ LLC,,75,GREENWICH AVE,NEW YORK,NY,10014,Unenclosed,200,10,20,50008145,40.736707517407545,-74.00133512236988,102,3,http://www.nyc.gov/manhattancb2,30567-2016-RSWC,Unenclosed,200,10,20,Application Review Completed,12/23/2016,04/15/2018,,12/14/2016,Ready For Review,12/14/2016,Approved,,Proceed,12/22/2016,Review Period Expired,12/22/2016,Waived,12/22/2016,,,Approved,12/22/2016,Approved,12/22/2016,Issued,12/23/2016
2036316-DCA,Inactive,BEER FACTORY LLC,LIONSBEERSTORE,104,2ND AVE,NEW YORK,NY,10003,Unenclosed,253,10,22,50043861,40.727410448276736,-73.9883138971477,103,2,http://www.nyc.gov/manhattancb3,1938-2016-ASWC,Unenclosed,253,10,22,Application Review Completed,06/03/2016,09/15/2018,,02/24/2016,Ready For Review,02/24/2016,Approved,04/29/2016,Pending Review,02/24/2016,Review Period Expired,04/15/2016,Recommendation Issued,04/21/2016,SWC Public Hearing,04/13/2016,Approved,06/03/2016,Approved,06/03/2016,Issued,06/03/2016
1433213-DCA,Active,STRATOS BAKERY CORP.,BOCADO BAKERY CAFE,1297,LEXINGTON AVE,NEW YORK,NY,10128,Enclosed,227,14,30,41664437,40.780290711242785,-73.95485776798857,108,5,http://www.cb8m.com/,8262-2016-RSWC,Enclosed,227,14,30,Pending Review,11/21/2016,05/15/2017,05/15/2017,05/17/2016,Ready For Review,05/17/2016,Issued Temp Op Letter,05/18/2016,Pending Review,05/18/2016,Pending Review,05/18/2016,Pending Review,,,,Pending Review,,Pending Review,,Pending Review,
1360728-DCA,Inactive,"MUSSELS & MORE, LTD.",,510,80TH ST,BROOKLYN,NY,11209,Unenclosed,432,17,34,41498611,40.62549784476221,-74.02388768886107,310,43,http://www.bkcb10.org/,7253-2017-RSWC,Unenclosed,432,17,34,Pending Review,02/13/2017,03/15/2017,03/15/2017,02/13/2017,Ready For Review,02/13/2017,Issued Temp Op Letter,,Pending Review,,Pending Review,,Pending Review,,,,Pending Review,,Pending Review,,Pending Review,
1171759-DCA,Active,K.K. & D. OF 79TH ST. REST. CORP.,,1022,MADISON AVE,NEW YORK,NY,10075,Small Unenclosed,163,3,12,40369759,40.776181802356625,-73.9623958303012,108,4,http://www.cb8m.com/,12261-2016-RSWC,Small Unenclosed,163,3,12,Application Review Completed,09/16/2016,09/15/2018,,09/14/2016,Ready For Review,09/14/2016,Approved,,Proceed,09/16/2016,Review Period Expired,09/16/2016,Waived,09/16/2016,,,Approved,09/16/2016,Approved,09/16/2016,Issued,09/16/2016
1276520-DCA,Active,GENINO INC.,VICO,1302,MADISON AVE,NEW YORK,NY,10128,Small Unenclosed,102,2,8,40391517,40.78500934070842,-73.95597038540441,108,4,http://www.cb8m.com/,30856-2016-RSWC,Small Unenclosed,102,2,8,Application Review Completed,02/13/2017,12/15/2018,02/18/2017,12/15/2016,Ready For Review,12/15/2016,Approved,,Proceed,02/13/2017,Review Period Expired,02/13/2017,Waived,02/13/2017,,,Approved,02/13/2017,Approved,02/13/2017,Issued,02/13/2017
1167600-DCA,Inactive,75TH & 3RD CORP.,BISTRO LE STEAK,1309,3RD AVE,NEW YORK,NY,10021,Enclosed,504,13,41,41004673,40.771465226372754,-73.9591203207384,108,4,http://www.cb8m.com/,11016-2014-RSWC,Enclosed,504,13,41,Application Review Completed,08/20/2015,05/15/2016,,05/14/2014,Ready For Review,05/14/2014,Approved,05/23/2014,Proceed,05/11/2015,Recommend Approval,05/11/2015,Recommendation Issued,05/11/2015,,,Review Period Expired,06/01/2015,Approved,07/06/2015,Issued,07/15/2015
1312044-DCA,Active,OSTERIA CASANO LLC,,28,WEST ST,NEW YORK,NY,10004,Unenclosed,320,16,31,41380930,40.707134441844325,-74.01559596758217,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,33456-2015-RSWC,Unenclosed,320,16,31,Application Review Completed,05/05/2016,12/15/2017,,12/16/2015,Ready For Review,12/16/2015,Approved,02/08/2016,Pending Review,12/16/2015,Recommend Approval,02/01/2016,Waived,02/08/2016,,,Approved,05/05/2016,Approved,05/05/2016,Issued,05/05/2016
1420812-DCA,Active,SIX LOUNGE LLC,HARLEM FOOD BAR,2100,FREDERICK DOUGLASS BLVD,NEW YORK,NY,10026,Unenclosed,261,11,22,41642375,40.802853031063144,-73.95650038621442,110,9,http://www.nyc.gov/html/mancb10/html/home/home.shtml,5900-2017-RSWC,Unenclosed,261,11,22,Application Review Completed,02/03/2017,12/15/2018,,02/03/2017,Ready For Review,02/03/2017,Approved,,Proceed,02/03/2017,Review Period Expired,02/03/2017,Waived,02/03/2017,,,Approved,02/03/2017,Approved,02/03/2017,Issued,02/03/2017
1072629-DCA,Active,"LUNELLA RISTORANTE, INC.",LUNELLA,173,MULBERRY ST,NEW YORK,NY,10013,Unenclosed,110,4,8,40812973,40.72010720444846,-73.99709953779212,102,1,http://www.nyc.gov/manhattancb2,25391-2015-RSWC,Unenclosed,110,4,8,Application Review Completed,12/02/2015,09/15/2017,,08/17/2015,Ready For Review,08/18/2015,Approved,10/15/2015,Pending Review,08/18/2015,Review Period Expired,10/08/2015,Waived,10/15/2015,,,Approved,12/02/2015,Approved,12/02/2015,Issued,12/02/2015
1133602-DCA,Active,Y.N.L.C. CAFE CORP.,,3527,30TH AVE,ASTORIA,NY,11103,Unenclosed,862,31,62,40931915,40.765338775202174,-73.91769221460864,401,22,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,3748-2017-RSWC,Unenclosed,862,31,62,Application Review Completed,01/25/2017,12/15/2018,,01/24/2017,Ready For Review,01/24/2017,Approved,,Proceed,01/24/2017,Review Period Expired,01/24/2017,Waived,01/24/2017,,,Approved,01/24/2017,Approved,01/24/2017,Issued,01/25/2017
2006003-DCA,Active,ST GROUP LLC,VERO,1483,2ND AVE,NEW YORK,NY,10075,Unenclosed,132,7,14,50008301,40.77236710605941,-73.95602567875902,108,4,http://www.cb8m.com/,3984-2015-RSWC,Unenclosed,132,7,14,Application Review Completed,09/16/2015,09/15/2017,,01/29/2015,Ready For Review,01/29/2015,Approved,01/30/2015,Pending Review,01/29/2015,Recommend Approval,03/17/2015,Recommendation Issued,03/24/2015,SWC Public Hearing,,Review Period Expired,06/01/2015,Approved,09/09/2015,Issued,09/16/2015
1258524-DCA,Active,88 2ND AVE. FOOD CORP.,THE KITCHEN SINK,88,2ND AVE,NEW YORK,NY,10003,Enclosed,364,13,26,41228760,40.72680664744883,-73.98877220668051,103,2,http://www.nyc.gov/manhattancb3,142-2013-RSWC,Enclosed,364,13,26,Pending Review,03/16/2017,09/25/2017,09/25/2017,05/12/2015,,,Issued Temp Op Letter,07/23/2014,Proceed,02/10/2015,Review Period Expired,03/09/2015,Recommendation Issued,03/10/2015,SWC Public Hearing,,Review Period Expired,06/01/2015,Approved,08/13/2015,Issued,01/14/2016
1190049-DCA,Active,HORSESHOES NY INC.,,611,9TH AVE,NEW YORK,NY,10036,Unenclosed,91,4,8,41066767,40.759458475755295,-73.9921273067601,104,3,http://www.nyc.gov/mcb4,25312-2015-RSWC,Unenclosed,91,4,8,Application Review Completed,12/07/2015,09/15/2017,,08/13/2015,Ready For Review,08/13/2015,Approved,08/14/2015,Pending Review,08/13/2015,Review Period Expired,10/04/2015,Waived,10/13/2015,,,Review Period Expired,11/03/2015,Approved,12/07/2015,Issued,12/07/2015
2021587-DCA,Active,PQ EAST 77TH INC,LE PAIN QUOTIDIEN,252,E 77TH ST,NEW YORK,NY,10075,Unenclosed,225,11,25,41118091,40.772051734456646,-73.95674795788678,108,4,http://www.cb8m.com/,2182-2015-ASWC,Unenclosed,225,11,25,Application Review Completed,06/04/2015,04/15/2017,,02/26/2015,Ready For Review,02/26/2015,Approved,03/02/2015,,,Recommend Approval,04/22/2015,Recommendation Issued,04/22/2015,SWC Public Hearing,,Approved,05/29/2015,Approved,05/29/2015,Issued,06/04/2015
2009249-DCA,Active,EAT MADISON LLC,ELI'S ESSENTIALS,922,MADISON AVE,NEW YORK,NY,10021,Small Unenclosed,20,1,2,50003047,40.77269402256201,-73.96487452667661,108,4,http://www.cb8m.com/,11064-2016-RSWC,Small Unenclosed,20,1,2,Application Review Completed,01/12/2017,09/15/2018,,08/24/2016,Ready For Review,08/24/2016,Approved,10/11/2016,Pending Review,08/25/2016,Recommend Approval,09/29/2016,Waived,10/06/2016,,,Approved,01/12/2017,Approved,01/12/2017,Issued,01/12/2017
1309963-DCA,Active,46 02 SKILLMAN CAFE LLC,CLARET'S WINE BAR,4602,SKILLMAN AVE,SUNNYSIDE,NY,11104,Unenclosed,254,11,22,41382696,40.746309587650174,-73.91788895461384,402,26,http://www.cb2queens.org/,25826-2015-RSWC,Unenclosed,254,11,22,Application Review Completed,12/02/2015,09/15/2017,,08/31/2015,Ready For Review,09/02/2015,Approved,10/15/2015,Pending Review,09/02/2015,Review Period Expired,10/15/2015,Waived,10/15/2015,,,Approved,12/02/2015,Approved,12/02/2015,Issued,12/02/2015
,Inactive,EAST HARLEM BOTTLING CO LLC,EAST HARLEM BOTTLING CO.,1711,LEXINGTON AVE,NEW YORK,NY,10029,Regular Unenclosed/Small Unenclosed,,15,30,50047978,40.79291797180954,-73.94559296679809,111,8,http://www.cb11m.org/,2499-2017-ASWC,Regular Unenclosed/Small Unenclosed,,15,30,Pending Review,03/02/2017,,,03/01/2017,Ready For Review,03/01/2017,Under Review,03/02/2017,Pending Review,03/02/2017,Pending Review,03/02/2017,Pending Review,,SWC Public Hearing,04/19/2017,Pending Review,,Pending Review,,Pending Review,
2004071-DCA,Active,SLJ BAR LLC,,63,GANSEVOORT STREET,NEW YORK,NY,10014,Unenclosed,245,13,27,50002488,40.73975396556479,-74.00735072600594,102,3,http://www.nyc.gov/manhattancb2,6880-2016-RSWC,Unenclosed,245,13,27,Application Review Completed,09/15/2016,04/15/2018,09/15/2016,04/18/2016,Ready For Review,04/18/2016,Approved,04/19/2016,Pending Review,04/19/2016,Recommend Approval,06/01/2016,Waived,06/01/2016,,,Review Period Expired,06/22/2016,Approved,09/15/2016,Issued,09/15/2016
,Inactive,"K CAFE, CORP",YUKKA LATIN BISTRO,5684,RIVERDALE AVE,BRONX,NY,10471,Unenclosed,,12,24,,40.90644482648308,-73.90404530758305,208,11,http://www.nyc.gov/bronxcb8,2455-2017-ASWC,Unenclosed,,12,24,Pending Review,03/06/2017,,,03/01/2017,Ready For Review,03/01/2017,Under Review,03/06/2017,Pending Review,03/06/2017,Pending Review,03/06/2017,Pending Review,,SWC Public Hearing,04/26/2017,Pending Review,,Pending Review,,Pending Review,
1249445-DCA,Active,LASAGNA RESTAURANT INC.,,941,2ND AVE,NEW YORK,NY,10022,Unenclosed,353,9,24,41169686,40.754889987352755,-73.96872073273762,106,4,http://cbsix.org,20303-2015-RSWC,Unenclosed,353,9,24,Application Review Completed,09/29/2015,04/15/2017,,06/09/2015,Ready For Review,06/09/2015,Approved,08/04/2015,Pending Review,06/16/2015,Recommend Approval,07/21/2015,Waived,08/03/2015,,,Approved,09/29/2015,Approved,09/29/2015,Issued,09/29/2015
